pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
73.66,-68.834,-90.0,top,C1,,C_Disc_D3.4mm_W2.1mm_P2.50mm,0.1uF,tht,True
88.138,-68.62,-90.0,top,C2,,C_Disc_D3.4mm_W2.1mm_P2.50mm,0.1uF,tht,True
73.914,-99.02,90.0,top,C3,,C_Disc_D3.4mm_W2.1mm_P2.50mm,0.1uF,tht,True
90.17,-88.687144,-90.0,top,C4,,CP_Radial_Tantal_D4.5mm_P2.50mm,10uF,tht,True
116.586,-70.104,0.0,top,C5,,C_Disc_D3.4mm_W2.1mm_P2.50mm,30pf,tht,True
123.738,-70.104,0.0,top,C6,,C_Disc_D3.4mm_W2.1mm_P2.50mm,30pf,tht,True
110.85,-56.9,-90.0,top,C7,,CP_Radial_D6.3mm_P2.50mm,10uF,tht,True
95.25,-73.66,-90.0,top,C8,,C_Disc_D3.4mm_W2.1mm_P2.50mm,0.1uF,tht,True
128.778,-85.384,-90.0,top,C9,,C_Disc_D3.4mm_W2.1mm_P2.50mm,0.1uF,tht,True
123.566,-46.482,0.0,top,D1,,LED_D3.0mm,LED,tht,True
66.04,-36.068,0.0,top,H1,,MountingHole_2.5mm_Pad,MountingHole,tht,True
130.556,-36.322,0.0,top,H2,,MountingHole_2.5mm_Pad,MountingHole,tht,True
66.548,-109.474,0.0,top,H3,,MountingHole_2.5mm_Pad,MountingHole,tht,True
130.556,-109.22,0.0,top,H4,,MountingHole_2.5mm_Pad,MountingHole,tht,True
68.072,-55.372,0.0,top,J1,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht,True
98.05,-52.3,0.0,top,J10,,PinHeader_2x03_P2.00mm_Vertical,VCC Lines,tht,True
68.072,-79.756,0.0,top,J2,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x08_Pin,tht,True
87.884,-109.22,90.0,top,J3,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x08_Pin,tht,True
108.458,-39.116,90.0,top,J4,,PinHeader_1x02_P2.54mm_Vertical,PowerSource,tht,True
86.25,-39.1,-90.0,top,J5,,PinHeader_1x06_P2.54mm_Vertical,PICKitConnector,tht,True
120.299813,-40.314672,0.0,top,J6,,USB_Mini-B_Tensility_4Holes,USB_B_Micro,tht,True
79.026,-52.324,0.0,top,J7,,PinHeader_2x03_P2.00mm_Vertical,PGEC_LINES,tht,True
85.122,-52.324,0.0,top,J8,,PinHeader_2x03_P2.00mm_Vertical,PGED_LINES,tht,True
91.694,-52.324,0.0,top,J9,,PinHeader_2x03_P2.00mm_Vertical,MCLR_LINES,tht,True
73.66,-62.23,0.0,top,JP1,,PinHeader_1x02_P2.54mm_Vertical,Program,tht,True
77.47,-65.024,0.0,top,R1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4.7K,tht,True
85.09,-61.722,180.0,top,R2,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,270,tht,True
112.75,-82.5,90.0,top,R3,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht,True
118.11,-58.42,0.0,top,R4,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,470R,tht,True
118.11,-53.848,0.0,top,R5,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht,True
93.75,-39.0,0.0,top,SW1,,SW_PUSH_6mm_2Holes,SW_Push,tht,True
77.47,-68.58,0.0,top,U1,,DIP-28_W7.62mm,PIC24F,tht,True
117.602,-74.676,0.0,top,U2,,DIP-18_W7.62mm,PIC16F84,tht,True
111.05,-47.65,90.0,top,U3,,SOT-223-3_TabPin2,LDA33A,smt,True
98.298,-73.66,0.0,top,U4,,DIP-20_W7.62mm,PIC16F1459-IP,tht,True
124.006,-65.024,180.0,top,Y1,,Crystal_HC49-U_Vertical,Crystal,tht,True
